Réseau;Code Etablissement;Etablissement;Code agence;Agence;Adresse;Ville;Code postal;Emplacement;Horaires Automate;Typologie;Etat de fonctionnement;latitude;longitude;Etat_num;quartier;jours_hors_service;hors_service_Xj;score_performance;nb_incidents_30j;multi_incidents_30j;distance_centre
CE;17515;Ce Ile-De-France;25;Paris Auteuil/00025;48B RUE D AUTEUIL;PARIS;75016.0;Interne;Mar et Mer et Ven {09:15-12:45 14:00-17:30} Jeu {09:15-12:45 15:00-18:30} Sam {09:00-13:00 14:00-16:15};Gvv;disponible;48.847833;2.264346;;Paris;;;;;;6.2720590827752245
CE;17515;Ce Ile-De-France;254;Ballancourt/00254;3 PLACE HENRI VAUTRAVERS;BALLANCOURT-SUR-ESSONNE;91610.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.524593;2.385453;;Autre;;;;;;36.27707851956302
BP;10548;Banque De Savoie;1580;Courchevel/01580;110 RUE DE LA CROISETTE;COURCHEVEL;73120.0;Dans La Rue;TLJ {00:00-23:59};Gab;hors service;45.415175;6.633536;;Autre;;;;;;500.70468204867035
BP;16807;Bp Auvergne Rhone Alpes;4;Modane/00004;7 RUE DE LA REPUBLIQUE;MODANE;73500.0;Sas;TLJ {06:00-22:00};Gab;disponible;45.19248;6.655335;;Autre;;;;;;521.2759290023098
CE;14445;Ce Bretagne-Pays De Loire;118;Sainte Pazanne/00118;21 PLACE DE RETZ;SAINTE-PAZANNE;44680.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;47.10342;-1.810439;;Autre;;;;;;365.4713542318493
BP;16807;Bp Auvergne Rhone Alpes;2;Albertville/00002;41 RUE DE LA REPUBLIQUE;ALBERTVILLE;73200.0;Sas;TLJ {06:00-22:00};Gab;disponible;45.676972;6.390956;;Autre;;;;;;466.19706486006675
BP;10548;Banque De Savoie;1880;Valloire/01880;NOUVELLE AVENUE;VALLOIRE;73450.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;45.164276;6.427243;;Autre;;;;;;513.1982981950026
CE;17515;Ce Ile-De-France;256;Bretigny Sur Orge/00256;7-9 BOULEVARD DE LA REPUBLIQUE;BRETIGNY-SUR-ORGE;91220.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:45} Sam {08:45-12:30};Udv;disponible;48.607433;2.304659;;Autre;;;;;;27.17646659229336
CE;17515;Ce Ile-De-France;100;Paris Diderot/00100;25B BOULEVARD DIDEROT;PARIS;75012.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.846747;2.381364;;Paris;;;;;;2.3233055979334
CE;17515;Ce Ile-De-France;100;Paris Diderot/00100;25B BOULEVARD DIDEROT;PARIS;75012.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.846747;2.381364;;Paris;;;;;;2.3233055979334
CE;17515;Ce Ile-De-France;615;Argenteuil Centre/00615;19 AVENUE GABRIEL PERI;ARGENTEUIL;95100.0;Dans La Rue;TLJ {00:00-23:59};Gab;service dégradé;48.943418;2.251582;;Autre;;;;;;12.635796661868339
CE;17515;Ce Ile-De-France;615;Argenteuil Centre/00615;19 AVENUE GABRIEL PERI;ARGENTEUIL;95100.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Car;disponible;48.943418;2.251582;;Autre;;;;;;12.635796661868339
CE;17515;Ce Ile-De-France;321;Dammarie Les Lys/00321;CENTRE COMMERCIAL CHAMPLYS LECLERCLES TERRASSES;DAMMARIE-LES-LYS;77190.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-18:30} Sam {09:00-13:00 13:45-16:15};Gvv;disponible;48.528541;2.646343;;Autre;;;;;;41.843270622134106
CE;17515;Ce Ile-De-France;62;Issy Les Moulineaux/00062;4 AVENUE VICTOR CRESSON;ISSY-LES-MOULINEAUX;92130.0;Interne;Mar et Mer et Ven {09:30-13:15 14:00-17:30} Jeu {09:30-13:15 15:00-18:30} Sam {09:00-13:00 13:45-16:15};Udv;disponible;48.823921;2.272415;;Autre;;;;;;6.375967057602295
CE;17515;Ce Ile-De-France;98;Romainville/00098;16 BOULEVARD EMILE GENEVOIX;ROMAINVILLE;93230.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.882369;2.434332;;Autre;;;;;;7.141845573953577
BP;18707;Bp Val De France;540;Issoudun/00540;15  BOULEVARD MARX DORMOY;ISSOUDUN;36100.0;Dans La Rue;TLJ {00:00-23:59};Gab;service dégradé;46.949982;1.992453;;Autre;;;;;;212.94638791064574
CE;17515;Ce Ile-De-France;616;Argenteuil Jean Jaures/00616;178 AVENUE JEAN JAURES;ARGENTEUIL;95100.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Car;disponible;48.940594;2.22263;;Autre;;;;;;13.717721545633081
CE;17515;Ce Ile-De-France;630;Garches/00630;18 PLACE SAINT LOUIS;GARCHES;92380.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.84516;2.187782;;Autre;;;;;;11.882238397185574
CE;17515;Ce Ile-De-France;421;La Ferte Gaucher/00421;6 RUE DE PARIS;LA FERTE-GAUCHER;77320.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.779887;3.304705;;Autre;;;;;;70.3374749285249
CE;17515;Ce Ile-De-France;35;Paris Gambetta/00035;1 PLACE GAMBETTA;PARIS;75020.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.864502;2.398543;;Paris;;;;;;3.9003271644513777
CE;14445;Ce Bretagne-Pays De Loire;22145;Lamballe/22145;8 RUE DES AUGUSTINS;LAMBALLE;22400.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.469337;-2.517198;;Autre;;;;;;359.9179307922545
BP;10548;Banque De Savoie;2000;Rumilly/02000;PLACE D'ARMESB.P. 9;RUMILLY;74150.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;45.863826;5.945732;;Autre;;;;;;428.4032278986859
CE;13485;Ce Languedoc-Roussillon;26;Carcassonne Pelletan/00026;5 BOULEVARD CAMILLE PELLETAN;CARCASSONNE;11000.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.211683;2.355169;;Autre;;;;;;626.9523717726879
CE;13485;Ce Languedoc-Roussillon;26;Carcassonne Pelletan/00026;5 BOULEVARD CAMILLE PELLETAN;CARCASSONNE;11000.0;Interne;;Cge;disponible;43.211683;2.355169;;Autre;;;;;;626.9523717726879
CE;14445;Ce Bretagne-Pays De Loire;22305;Pontivy/22305;1 RUE DU TRIBUNAL;PONTIVY;56300.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.066051;-2.968126;;Autre;;;;;;401.6439115159715
BP;10548;Banque De Savoie;1700;La Rochette/01700;18 RUE MAURICE REY;VALGELON LA ROCHETTE;73110.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;45.456491;6.119267;;Autre;;;;;;472.7585198740392
CE;17515;Ce Ile-De-France;575;Sarcelles Centre/00575;85B RUE PIERRE BROSSOLETTE;SARCELLES;95200.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.994241;2.377895;;Autre;;;;;;16.167845896826275
CE;17515;Ce Ile-De-France;575;Sarcelles Centre/00575;85B RUE PIERRE BROSSOLETTE;SARCELLES;95200.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;48.994241;2.377895;;Autre;;;;;;16.167845896826275
CE;17515;Ce Ile-De-France;509;Beauchamp/00509;155 CHAUSSEE JULES CESAR;BEAUCHAMP;95250.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;49.009713;2.196145;;Autre;;;;;;21.01712968521762
BP;16807;Bp Auvergne Rhone Alpes;6;Moutiers Tarentaise/00006;30 AVENUE DU 08 MAI 1945;MOUTIERS;73600.0;Sas;TLJ {06:00-22:00};Gab;disponible;45.48559;6.530844;;Autre;;;;;;489.5851032606121
CE;17515;Ce Ile-De-France;501;Aulnay Sous Bois Centre/00501;25 BOULEVARD DE STRASBOURG;AULNAY-SOUS-BOIS;93600.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.928628;2.491798;;Autre;;;;;;13.561683826927778
CE;17515;Ce Ile-De-France;581;Taverny/00581;56 AVENUE DE LA GARE;TAVERNY;95150.0;Interne;Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-12:45 14:00-16:15} Sam {08:30-12:45};Gvv;hors service;49.025734;2.220965;;Autre;;;;;;21.69489367003692
CE;17515;Ce Ile-De-France;576;Sarcelles Flanades/00576;17 BOULEVARD EDOUARD BRANLYCENTRE COMMERCIAL;SARCELLES;95200.0;Interne;Mar et Jeu et Ven {09:15-12:45 15:00-18:30} Mer {09:15-12:45 14:00-16:00} Sam {08:30-12:30};Car;disponible;48.978519;2.379016;;Autre;;;;;;14.447108734651605
CE;17515;Ce Ile-De-France;532;Gagny/00532;6 RUE SAINT GERMAIN;GAGNY;93220.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.884841;2.532341;;Autre;;;;;;13.888502957083084
CE;17515;Ce Ile-De-France;532;Gagny/00532;6 RUE SAINT GERMAIN;GAGNY;93220.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.884841;2.532341;;Autre;;;;;;13.888502957083084
CE;17515;Ce Ile-De-France;564;Flins Sur Seine/00564;ROUTE DEPARTMENTALE 114CENTRE COMMERCIAL;FLINS-SUR-SEINE;78410.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;48.967653;1.870474;;Autre;;;;;;37.40774048698849
BP;10548;Banque De Savoie;1380;Val D'Isere/01380;PLACE DU DOCTEUR PETRIBP231;VAL D'ISERE;73150.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;45.462087;6.963722;;Autre;;;;;;513.2484130364952
CE;13485;Ce Languedoc-Roussillon;50;Narbonne La Mayrale/00050;8 ROUTE DE MARCORIGNAN;NARBONNE;11100.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;43.19099;2.983517;;Autre;;;;;;631.1451232081901
BP;10548;Banque De Savoie;1780;Allevard/01780;RUE CHARAMIL;ALLEVARD;38580.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;45.393015;6.074235;;Autre;;;;;;476.4889994598972
CE;13485;Ce Languedoc-Roussillon;201;Beziers Font Neuve/00201;AVENUE DE LA FONT NEUVE;BEZIERS;34500.0;Interne;Mar et Mer et Ven {08:30-12:30 13:30-18:00} Jeu {08:30-12:30 14:30-18:00} Sam {08:30-12:30};Gdv;disponible;43.351677;3.217985;;Autre;;;;;;615.0255648469433
CE;13485;Ce Languedoc-Roussillon;195;Murviel Les Beziers/00195;10 RUE GEORGES DURAND;MURVIEL-LES-BEZIERS;34490.0;Sas;TLJ {06:00-23:00};Gab;disponible;43.440327;3.145891;;Autre;;;;;;604.6352633705709
CE;14445;Ce Bretagne-Pays De Loire;278;Gennes/00278;3 PLACE DE L ETOILE;GENNES;49350.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;47.340973;-0.231232;;Autre;;;;;;254.73557593289775
CE;14445;Ce Bretagne-Pays De Loire;324;Angers Les Plantes/00324;ANGLE RUE SAVARY LISE;ANGERS;49100.0;Interne;Mar au Ven {10:00-12:30 14:00-19:00} Sam {09:00-12:15};Drm;disponible;47.472479;-0.54277;;Autre;;;;;;263.59453825138473
CE;17515;Ce Ile-De-France;628;Fontenay Le Fleury/00628;2 ET 4 RUE LOUIS PASTEUR;FONTENAY-LE-FLEURY;78330.0;Dans La Rue;TLJ {06:00-23:59};Gab;service dégradé;48.811904;2.045967;;Autre;;;;;;22.654081105042696
CE;17515;Ce Ile-De-France;628;Fontenay Le Fleury/00628;2 ET 4 RUE LOUIS PASTEUR;FONTENAY-LE-FLEURY;78330.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.811904;2.045967;;Autre;;;;;;22.654081105042696
BP;16807;Bp Auvergne Rhone Alpes;63;Cognin/00063;18 ROUTE DE LYON;COGNIN;73160.0;Sas;TLJ {06:00-22:00};Gab;disponible;45.561804;5.898773;;Autre;;;;;;453.2685178167983
CE;13485;Ce Languedoc-Roussillon;51;Lezignan/00051;20 AVENUE WILSON;LEZIGNAN-CORBIERES;11200.0;Interne;;Udv;disponible;43.200956;2.760643;;Autre;;;;;;628.9419001304296
CE;14445;Ce Bretagne-Pays De Loire;524;La Chataigneraie/00524;1 RUE GABRIEL BRIAND;LA CHATAIGNERAIE;85120.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;46.649444;-0.742006;;Autre;;;;;;336.56518033534337
CE;14445;Ce Bretagne-Pays De Loire;254;Angers La Madeleine/00254;92 RUE VOLNEY;ANGERS;49000.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;47.460091;-0.537422;;Autre;;;;;;264.0963303931141
CE;14445;Ce Bretagne-Pays De Loire;22025;Plabennec/22025;2 PLACE DU GENERAL DE GAULLE;PLABENNEC;29860.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;48.502216;-4.426226;;Autre;;;;;;498.86915925309506
CE;17515;Ce Ile-De-France;631;Guyancourt/00631;43 RUE GEORGES HAUSSMANNLA VILLAROY;GUYANCOURT;78280.0;Sas;TLJ {06:00-22:00};Gvv;service dégradé;48.768486;2.076734;;Autre;;;;;;21.96813482968361
CE;17515;Ce Ile-De-France;651;Rueil 2000/00651;2 - 4 PLACE DE L EUROPE;RUEIL-MALMAISON;92500.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;48.888627;2.168345;;Autre;;;;;;13.963536632836203
CE;17515;Ce Ile-De-France;657;Beynes/00657;CENTRE COMMERCIALLA PETITE MAULDRE;BEYNES;78650.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.8516;1.879144;;Autre;;;;;;34.452334278506065
CE;17515;Ce Ile-De-France;73;Puteaux/00073;51 BOULEVARD RICHARD WALLACE;PUTEAUX;92800.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.880666;2.237993;;Autre;;;;;;8.874297475883473
CE;17515;Ce Ile-De-France;326;Mormant/00326;92 RUE DU GENERAL DE GAULLE;MORMANT;77720.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.550127;2.90067;;Autre;;;;;;52.39303125204362
CE;17515;Ce Ile-De-France;636;Les Clayes Sous Bois/00636;30 RUE MAURICE JOUET;LES CLAYES-SOUS-BOIS;78340.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Car;disponible;48.823031;1.990463;;Autre;;;;;;26.48466336812392
CE;17515;Ce Ile-De-France;640;Meudon La Foret/00640;CENTRE COMMERCIALJOLI MAI;MEUDON;92190.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.814821;2.241009;;Autre;;;;;;8.885079980163713
CE;17515;Ce Ile-De-France;659;Elancourt Templiers/00659;CENTRE COMMERCIALLA VILLEDIEU;ELANCOURT;78990.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;48.770326;1.969605;;Autre;;;;;;29.23046457268524
CE;17515;Ce Ile-De-France;659;Elancourt Templiers/00659;CENTRE COMMERCIALLA VILLEDIEU;ELANCOURT;78990.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.770326;1.969605;;Autre;;;;;;29.23046457268524
CE;17515;Ce Ile-De-France;175;Le Plessis Robinson/00175;3 AVENUE ARISTIDE BRIAND;LE PLESSIS-ROBINSON;92350.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.780509;2.2571;;Autre;;;;;;10.294518801608554
CE;17515;Ce Ile-De-France;38;Paris Malesherbes/00038;37 RUE JOUFFROY D ABBANS;PARIS;75017.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-18:30} Sam {09:00-13:00 13:45-16:15};Gvv;disponible;48.885537;2.308546;;Paris;;;;;;4.980792993556181
CE;17515;Ce Ile-De-France;305;Montereau Fault Yonne/00305;15 RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;77130.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Car;disponible;48.385554;2.954273;;Autre;;;;;;68.11840432139212
CE;17515;Ce Ile-De-France;327;Pontault Combault Carrefour/00327;CENTRE COMMERCIAL CARREFOURRN 4;PONTAULT-COMBAULT;77340.0;Dans La Rue;TLJ {06:00-23:59};Gab;disponible;48.776838;2.597159;;Autre;;;;;;19.842182773689927
CE;17515;Ce Ile-De-France;402;Meaux Dunant/00402;10 PLACE COLBERT;MEAUX;77100.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00};Udv;disponible;48.949856;2.904812;;Autre;;;;;;42.047459660907556
CE;17515;Ce Ile-De-France;7;Paris Saint Lazare/00007;100-102 rue Saint Lazare;PARIS;75009.0;Interne;Lun au Mer et Ven {11:30-18:00} Jeu {11:30-17:15} Sam {09:00-12:30 13:45-16:30};Gvv;disponible;48.875761;2.327496;;Paris;;;;;;3.303825593586364
BP;16607;Bp Sud;243;Agde La Treille/00243;55 ROUTE DE SETE;AGDE;34300.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.310741;3.481295;;Autre;;;;;;622.0671426596404
BP;16607;Bp Sud;340;Montpellier Campus/00340;34 AVENUE EMILE DIACON;MONTPELLIER;34000.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;43.584724;3.871595;;Autre;;;;;;597.0268408112331
CE;17515;Ce Ile-De-France;41;Paris Trocadero/00041;84 RUE DE LONGCHAMP;PARIS;75016.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;48.86549;2.2838;;Paris;;;;;;5.140260958496487
CE;17515;Ce Ile-De-France;41;Paris Trocadero/00041;84 RUE DE LONGCHAMP;PARIS;75016.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00};Udv;disponible;48.86549;2.2838;;Paris;;;;;;5.140260958496487
CE;17515;Ce Ile-De-France;301;Provins/00301;1 RUE VICTOR ARNOUL;PROVINS;77160.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00};Car;disponible;48.559081;3.302367;;Autre;;;;;;77.0096731635415
CE;17515;Ce Ile-De-France;301;Provins/00301;1 RUE VICTOR ARNOUL;PROVINS;77160.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.559081;3.302367;;Autre;;;;;;77.0096731635415
CE;17515;Ce Ile-De-France;595;Cergy Cerclades/00595;2 PLACE DES CERCLADESCENTRE COMMERCIAL;CERGY;95000.0;Interne;Mar et Jeu {10:00-13:00 15:00-18:45} Mer et Ven {10:00-17:45} Sam {09:00-12:30};Gvv;hors service;49.037636;2.080998;;Autre;;;;;;28.65788662727532
CE;17515;Ce Ile-De-France;595;Cergy Cerclades/00595;2 PLACE DES CERCLADESCENTRE COMMERCIAL;CERGY;95000.0;Dans La Rue;TLJ {00:00-23:59};Gab;disponible;49.037636;2.080998;;Autre;;;;;;28.65788662727532
CE;17515;Ce Ile-De-France;163;Joinville Le Pont/00163;52B AVENUE DU GENERAL GALLIENI;JOINVILLE-LE-PONT;94340.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.819909;2.478151;;Autre;;;;;;9.958542705783318
CE;17515;Ce Ile-De-France;315;Moret Sur Loing/00315;23 RUE GRANDE;MORET-SUR-LOING;77250.0;Sas;TLJ {06:00-22:00};Gdv;disponible;48.373163;2.816848;;Autre;;;;;;63.1605164634904
CE;17515;Ce Ile-De-France;315;Moret Sur Loing/00315;23 RUE GRANDE;MORET-SUR-LOING;77250.0;Interne;Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00};Car;disponible;48.373163;2.816848;;Autre;;;;;;63.1605164634904
CE;17515;Ce Ile-De-France;512;Le Blanc Mesnil/00512;21 AVENUE PIERRE ET MARIE CURIE;LE BLANC-MESNIL;93150.0;Interne;Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-12:45 14:00-16:15} Sam {08:30-12:45};Gvv;service dégradé;48.936092;2.45998;;Autre;;;;;;12.501544630560346
CE;17515;Ce Ile-De-France;568;Le Raincy/00568;103 AVENUE DE LA RESISTANCE;LE RAINCY;93340.0;Sas;TLJ {06:00-22:00};Gvv;disponible;48.89651;2.514873;;Autre;;;;;;13.120394530422567
CE;13485;Ce Languedoc-Roussillon;266;Montpellier La Pompignane/00266;1651 AVENUE DE LA POMPIGNANE;MONTPELLIER;34000.0;Interne;;Udv;disponible;43.621161;3.89748;;Autre;;;;;;593.4418659703098
CE;13485;Ce Languedoc-Roussillon;266;Montpellier La Pompignane/00266;1651 AVENUE DE LA POMPIGNANE;MONTPELLIER;34000.0;Dans La Rue;TLJ {00:00-23:59};Gdv;disponible;43.621161;3.89748;;Autre;;;;;;593.4418659703098
