Réseau,Code Etablissement,Etablissement,Code agence,Agence,Adresse,Ville,Code postal,Emplacement,Horaires Automate,Typologie,Etat de fonctionnement,point_geographique,latitude,longitude
Ce,14445,Ce Bretagne-Pays De Loire,118,Sainte Pazanne/00118,21 PLACE DE RETZ,Sainte-Pazanne,44680.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.10342, -1.810439",47.10342,-1.810439
Bp,16807,Bp Auvergne Rhone Alpes,2,Albertville/00002,41 RUE DE LA REPUBLIQUE,Albertville,73200.0,Sas,TLJ {06:00-22:00},Gab,disponible,"45.676972, 6.390956",45.676972,6.390956
Bp,10548,Banque De Savoie,1880,Valloire/01880,NOUVELLE AVENUE,Valloire,73450.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"45.164276, 6.427243",45.164276,6.427243
Bp,10548,Banque De Savoie,1200,Albertville Sauvay/01200,735  AV JOSEPH FONTANET B.P. 24,Albertville-Cedex,73201.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,,,
Ce,17515,Ce Ile-De-France,256,Bretigny Sur Orge/00256,7-9 BOULEVARD DE LA REPUBLIQUE,Bretigny-Sur-Orge,91220.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:45} Sam {08:45-12:30},Udv,disponible,"48.607433, 2.304659",48.607433,2.304659
Ce,17515,Ce Ile-De-France,100,Paris Diderot/00100,25B BOULEVARD DIDEROT,Paris,75012.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.846747, 2.381364",48.846747,2.381364
Ce,17515,Ce Ile-De-France,100,Paris Diderot/00100,25B BOULEVARD DIDEROT,Paris,75012.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.846747, 2.381364",48.846747,2.381364
Ce,17515,Ce Ile-De-France,615,Argenteuil Centre/00615,19 AVENUE GABRIEL PERI,Argenteuil,95100.0,Dans La Rue,TLJ {00:00-23:59},Gab,service dégradé,"48.943418, 2.251582",48.943418,2.251582
Ce,17515,Ce Ile-De-France,615,Argenteuil Centre/00615,19 AVENUE GABRIEL PERI,Argenteuil,95100.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 14:45-17:30} Sam {09:00-13:00},Car,disponible,"48.943418, 2.251582",48.943418,2.251582
Ce,17515,Ce Ile-De-France,172,La Defense/00172,14 PLACE DE LA DEFENSE,Courbevoie,92200.0,Interne,Mar et Mer et Ven {09:30-13:15 14:00-17:30} Jeu {09:30-13:15 15:00-18:30} Sam {09:00-13:00 13:45-16:15},Udv,disponible,,,
