Réseau,Code Etablissement,Etablissement,Code agence,Agence,Adresse,Ville,Code postal,Emplacement,Horaires Automate,Typologie,Etat de fonctionnement,point_geographique,latitude,longitude
Ce,17515,Ce Ile-De-France,590,Limay/00590,36 RUE ADRIEN ROELANDT,Limay,78520.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.993008, 1.731491",48.993008,1.731491
Ce,17515,Ce Ile-De-France,597,Pontoise Les Louvrais/00597,59 RUE GISORS,Pontoise,95300.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"49.054217, 2.092912",49.054217,2.092912
Ce,17515,Ce Ile-De-France,597,Pontoise Les Louvrais/00597,59 RUE GISORS,Pontoise,95300.0,Interne,Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-16:15} Sam {08:30-12:45},Udv,disponible,"49.054217, 2.092912",49.054217,2.092912
Ce,17515,Ce Ile-De-France,601,Versailles Foch/00601,43T RUE DU MARECHAL FOCH,Versailles,78000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.809607, 2.133801",48.809607,2.133801
Ce,17515,Ce Ile-De-France,602,Rambouillet Centre/00602,88 RUE DU GENERAL DE GAULLE,Rambouillet,78120.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.643436, 1.824595",48.643436,1.824595
Ce,14505,Ce Loire-Centre,13560,Chateaudun Centre/13560,6 RUE DE LA REPUBLIQUE,Chateaudun,28200.0,Interne,Mar et Mer et Ven {09:00-12:30 14:00-18:00} Jeu {09:00-12:30 15:00-18:00} Sam {08:45-13:00},Gdv,disponible,"48.070544, 1.329634",48.070544,1.329634
Ce,17515,Ce Ile-De-France,609,Le Chesnay Nouvelle France/00609,48 RUE POTTIER,Le Chesnay,78150.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.826474, 2.126142",48.826474,2.126142
Ce,17515,Ce Ile-De-France,609,Le Chesnay Nouvelle France/00609,48 RUE POTTIER,Le Chesnay,78150.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.826474, 2.126142",48.826474,2.126142
Ce,17515,Ce Ile-De-France,612,Le Chesnay La Celle/00612,2 RUE DE LA CELLE,Le Chesnay,78150.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.819002, 2.1265",48.819002,2.1265
Ce,17515,Ce Ile-De-France,618,Le Mesnil Saint Denis/00618,5 RUE RAYMOND BERRURIER,Le Mesnil-Saint-Denis,78320.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.742696, 1.963696",48.742696,1.963696
Ce,14505,Ce Loire-Centre,19462,Mer/19462,10  PLACE DE LA HALLE,Mer,41500.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.703397, 1.506314",47.703397,1.506314
Ce,14505,Ce Loire-Centre,28131,Bourges Chancellerie/28131,45 RUE DE LA SENTE AUX LOUPS,Bourges,18000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.103892, 2.404347",47.103892,2.404347
Ce,17515,Ce Ile-De-France,621,Chevry 2/00621,2 PLACE DU MARCHE NEUFCENTRE COMMERCIAL,Gif-Sur-Yvette,91190.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.688314, 2.114965",48.688314,2.114965
Ce,17515,Ce Ile-De-France,624,Chaville Salengro/00624,667 RUE ROGERUE SALENGRO,Chaville,92370.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.815078, 2.1937",48.815078,2.1937
Ce,17515,Ce Ile-De-France,624,Chaville Salengro/00624,667 RUE ROGERUE SALENGRO,Chaville,92370.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.815078, 2.1937",48.815078,2.1937
Ce,17515,Ce Ile-De-France,627,Montigny Les Cormeilles/00627,AVENUE ARISTIDE MAILLOLCENTRE COMMERCIAL CARREFOUR,Montigny-Les-Cormeilles,95370.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.994802, 2.201235",48.994802,2.201235
Ce,17515,Ce Ile-De-France,627,Montigny Les Cormeilles/00627,AVENUE ARISTIDE MAILLOLCENTRE COMMERCIAL CARREFOUR,Montigny-Les-Cormeilles,95370.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.994802, 2.201235",48.994802,2.201235
Ce,14505,Ce Loire-Centre,28137,La Guerche/28137,54 RUE HENRI BARBUSSE,La Guerche-Sur-L'Aubois,18150.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"46.95074, 2.946608",46.95074,2.946608
Ce,17515,Ce Ile-De-France,629,Gif Sur Yvette/00629,18 RUE ALPHONSE PECARD,Gif-Sur-Yvette,91190.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.70117, 2.135835",48.70117,2.135835
Ce,17515,Ce Ile-De-France,632,Herblay/00632,PLACE DE LA HALLE,Herblay,95220.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.991669, 2.165978",48.991669,2.165978
Ce,17515,Ce Ile-De-France,639,St Arnoult En Yvelines/00639,2 AVENUE HENRI GRIVOT,Saint-Arnoult-En-Yvelines,78730.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.571382, 1.937913",48.571382,1.937913
Ce,17515,Ce Ile-De-France,642,Orsay/00642,2 RUE BOURSIER,Orsay,91400.0,Sas,TLJ {07:00-22:00},Dvv,disponible,"48.698554, 2.187644",48.698554,2.187644
Ce,14505,Ce Loire-Centre,15180,Sancerrois/15180,94 AVENUE DE FONTENAY,Saint-Satur,18300.0,Dans La Rue,TLJ {00:00-23:59},Gvr,disponible,"47.33894, 2.838822",47.33894,2.838822
Ce,17515,Ce Ile-De-France,648,Rueil Centre/00648,8B RUE DE MAUREPAS,Rueil-Malmaison,92500.0,Dans La Rue,TLJ {00:00-23:59},Gab,service dégradé,"48.87876, 2.181413",48.87876,2.181413
Ce,14505,Ce Loire-Centre,16685,Malesherbes/16685,6 PLACE DE L HOTEL DE VILLE,Malesherbes,45330.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.2953, 2.416325",48.2953,2.416325
Ce,17515,Ce Ile-De-France,655,Saint Quentin Ville/00655,4 PASSAGE GEORGES MELIESCENTRE COMMERCIAL REGIONAL,Saint-Quentin,78885.0,Interne,Mar et Jeu {09:15-12:45 15:00-18:45} Mer et Ven {09:15-16:15} Sam {08:30-12:45},Car,disponible,,,
Ce,17515,Ce Ile-De-France,658,Sevres/00658,86 GRANDE RUE,Sevres,92310.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu  {09:15-12:45 14:45-18:30} Sam {09:00-13:00 13:45-16:15},Car,disponible,"48.824004, 2.209549",48.824004,2.209549
Ce,17515,Ce Ile-De-France,660,Trappes/00660,10 RUE JEAN JAURES,Trappes,78190.0,Interne,Mar au Ven {08:30-12:00 13:30-17:00} Sam {08:30-12:00},Dvv,disponible,"48.776395, 2.002244",48.776395,2.002244
Ce,17515,Ce Ile-De-France,662,Les Ulis Ville/00662,5 AVENUE DU BERRY,Les Ulis,91940.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.682442, 2.168142",48.682442,2.168142
Ce,17515,Ce Ile-De-France,663,Les Ulis 2/00663,CENTRE COMMERCIAL REGIONAL LES ULIS 2,Les Ulis,91940.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.684877, 2.177692",48.684877,2.177692
Ce,17515,Ce Ile-De-France,666,Velizy Le Mail Cc/00666,CENTRE COMMERCIAL LE MAIL,Velizy-Villacoublay,78140.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.784752, 2.182295",48.784752,2.182295
Ce,17515,Ce Ile-De-France,666,Velizy Le Mail Cc/00666,CENTRE COMMERCIAL LE MAIL,Velizy-Villacoublay,78140.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.784752, 2.182295",48.784752,2.182295
Ce,17515,Ce Ile-De-France,675,Saint Germain Victoire/00675,1 PLACE DE LA VICTOIRE,Saint-Germain-En-Laye,78100.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.898783, 2.089243",48.898783,2.089243
Ce,14505,Ce Loire-Centre,15692,Lorris/15692,19 GRANDE RUE,Lorris,45260.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.888868, 2.513376",47.888868,2.513376
Ce,17515,Ce Ile-De-France,678,Houilles/00678,1 RUE PASTEUR,Houilles,78800.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.92195, 2.187824",48.92195,2.187824
Ce,17515,Ce Ile-De-France,679,Bezons/00679,91 RUE EDOUARD VAILLANT,Bezons,95870.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.92603, 2.21251",48.92603,2.21251
Ce,17515,Ce Ile-De-France,680,Bois D'Arcy/00680,AVENUE JEAN JAURESCENTRE COMMERCIAL LECLERC,Bois-D'Arcy,78390.0,Sas,TLJ {06:00-22:00},Dvv,disponible,,,
Ce,17515,Ce Ile-De-France,684,La Celle Saint Cloud/00684,8 AVENUE DE L AQUEDUCCENTRE COMMERCIAL DE BEAUREGARD,La Celle-Saint-Cloud,78170.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.847304, 2.114721",48.847304,2.114721
Ce,17515,Ce Ile-De-France,686,Marly Le Roi/00686,1 RUE FERNAND QUERE,Marly-Le-Roi,78160.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.87399, 2.093815",48.87399,2.093815
Ce,17515,Ce Ile-De-France,136,Paris Gay Lussac/00136,3 RUE SOUFFLOT,Paris,75005.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.846443, 2.344162",48.846443,2.344162
Ce,17515,Ce Ile-De-France,164,Orly/00164,4 AVENUE MOLIERE,Orly,91310.0,Sas,TLJ {06:00-22:00},Gdv,disponible,,,
Ce,14505,Ce Loire-Centre,11542,Vernouillet/11542,CENTRE COMMERCIAL PLEIN SUD,Vernouillet,28500.0,Dans La Rue,TLJ {00:00-23:59},Gab,service dégradé,,,
Ce,14505,Ce Loire-Centre,11542,Vernouillet/11542,CENTRE COMMERCIAL PLEIN SUD,Vernouillet,28500.0,Interne,Mar et Mer et Ven {09:00-12:30 14:00-18:00} Jeu {09:00-12:30 15:00-18:00} Sam {08:45-13:00},Gdv,disponible,,,
Ce,14505,Ce Loire-Centre,13521,Chateauneuf En Thymerais/13521,22 RUE JEAN MOULIN,Chateauneuf-En-Thymerais,28170.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.580299, 1.242577",48.580299,1.242577
Ce,14505,Ce Loire-Centre,21433,Selles Sur Cher/21433,5 CARROIRUE DES BARBIERS,Selles-Sur-Cher,41130.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.279546, 1.560271",47.279546,1.560271
Ce,14505,Ce Loire-Centre,12525,Leves/12525,4 RUE JOSAPHAT,Leves,28300.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.470029, 1.481484",48.470029,1.481484
Ce,14505,Ce Loire-Centre,17612,Orleans Chatelet/17612,PLACE DU CHATELETCENTRE COMMERCIAL HALLES CHATELET,Orleans,45000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.899077, 1.905963",47.899077,1.905963
Ce,14505,Ce Loire-Centre,26355,Levroux/26355,3 BIS RUE VICTORUE HUGO,Levroux,36110.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"46.97947, 1.610706",46.97947,1.610706
Ce,14505,Ce Loire-Centre,24244,Bourgueil/24244,5 PLACE DE L EGLISE,Bourgueil,37140.0,Dans La Rue,TLJ {00:00-23:59},Gvr,disponible,"47.281318, 0.168075",47.281318,0.168075
Ce,14505,Ce Loire-Centre,18639,Jargeau/18639,28 GRANDE RUE,Jargeau,45150.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.866481, 2.12158",47.866481,2.12158
Ce,17515,Ce Ile-De-France,22,Paris Montparnasse/00022,57 BOULEVARD DU MONTPARNASSE,Paris,75006.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.844371, 2.323043",48.844371,2.323043
Ce,17515,Ce Ile-De-France,23,Paris Saint Charles/00023,123 RUE SAINT CHARLES,Paris,75015.0,Sas,TLJ {07:00-22:00},Gdv,disponible,"48.844271, 2.283643",48.844271,2.283643
Ce,17515,Ce Ile-De-France,26,Paris Ternes/00026,61 AVENUE DES TERNES,Paris,75017.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.87908, 2.291567",48.87908,2.291567
Ce,17515,Ce Ile-De-France,26,Paris Ternes/00026,61 AVENUE DES TERNES,Paris,75017.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.87908, 2.291567",48.87908,2.291567
Ce,17515,Ce Ile-De-France,27,Paris Batignolles/00027,22 RUE DES BATIGNOLLES,Paris,75017.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.884803, 2.321299",48.884803,2.321299
Ce,17515,Ce Ile-De-France,29,Paris La Chapelle/00029,11 ET 13 RUE DE LA CHAPELLE,Paris,75018.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.891164, 2.359673",48.891164,2.359673
Ce,17515,Ce Ile-De-France,32,Paris Montmartre/00032,48 RUE DES ABBESSES,Paris,75018.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.885531, 2.336055",48.885531,2.336055
Ce,17515,Ce Ile-De-France,32,Paris Montmartre/00032,48 RUE DES ABBESSES,Paris,75018.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.885531, 2.336055",48.885531,2.336055
Ce,17515,Ce Ile-De-France,34,Paris Buttes Chaumont/00034,126 AVENUE SIMON BOLIVAR,Paris,75019.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.880603, 2.374202",48.880603,2.374202
Ce,17515,Ce Ile-De-France,36,Paris Avron/00036,30 RUE D AVRON,Paris,75020.0,Sas,TLJ {06:00-22:00},Gdv,service dégradé,"48.851746, 2.401277",48.851746,2.401277
Ce,17515,Ce Ile-De-France,36,Paris Avron/00036,30 RUE D AVRON,Paris,75020.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.851746, 2.401277",48.851746,2.401277
Ce,17515,Ce Ile-De-France,37,Paris Voltaire/00037,181 BOULEVARD VOLTAIRE,Paris,75011.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.853925, 2.386948",48.853925,2.386948
Ce,17515,Ce Ile-De-France,39,Paris Flandre/00039,90 AVENUE DE FLANDRE,Paris,75019.0,Sas,TLJ {06:00-22:00},Gvv,disponible,"48.8901, 2.376563",48.8901,2.376563
Ce,17515,Ce Ile-De-France,40,Paris Porte De Saint Cloud/00040,98 RUE CHARDON LAGACHE,Paris,75016.0,Sas,TLJ {07:00-22:00},Dvv,disponible,"48.839984, 2.262772",48.839984,2.262772
Ce,17515,Ce Ile-De-France,44,Paris Franklin Delano Roosevelt/00044,71 AVENUE FRANKLIN DELANO ROOSEVELT,Paris,75008.0,Interne,Lun au Mer et Ven {10:30-17:00} Jeu {10:30-16:15},Udv,disponible,"48.872645, 2.309864",48.872645,2.309864
Ce,17515,Ce Ile-De-France,48,Paris Vouille Convention/00048,17 RUE DE VOUILLE,Paris,75015.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.834983, 2.30463",48.834983,2.30463
Ce,17515,Ce Ile-De-France,49,Paris Place Des Fetes/00049,209 RUE DE BELLEVILLE,Paris,75019.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.875517, 2.394264",48.875517,2.394264
Ce,17515,Ce Ile-De-France,49,Paris Place Des Fetes/00049,209 RUE DE BELLEVILLE,Paris,75019.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.875517, 2.394264",48.875517,2.394264
Ce,17515,Ce Ile-De-France,50,Asnieres Sur Seine/00050,2 RUE DE LA CONCORDE,Asnieres-Sur-Seine,92600.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.911324, 2.291653",48.911324,2.291653
Ce,17515,Ce Ile-De-France,50,Asnieres Sur Seine/00050,2 RUE DE LA CONCORDE,Asnieres-Sur-Seine,92600.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.911324, 2.291653",48.911324,2.291653
Ce,17515,Ce Ile-De-France,52,Bois Colombes/00052,10 RUE D ESTIENNE D ORVES,Bois-Colombes,92270.0,Sas,TLJ {07:00-22:00},Dvv,disponible,"48.915447, 2.271356",48.915447,2.271356
Ce,17515,Ce Ile-De-France,53,Boulogne Mairie/00053,145 RUE GALLIENI,Boulogne-Billancourt,92100.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.836244, 2.237756",48.836244,2.237756
Ce,17515,Ce Ile-De-France,54,Charenton Le Pont/00054,60 RUE DE PARIS,Charenton-Le-Pont,94220.0,Sas,TLJ {07:00-22:00},Dvv,disponible,"48.820567, 2.415112",48.820567,2.415112
Ce,17515,Ce Ile-De-France,57,Clamart/00057,176 AVENUE JEAN JAURES,Clamart,92140.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.810065, 2.269533",48.810065,2.269533
Ce,17515,Ce Ile-De-France,58,Clichy/00058,73 BOULEVARD JEAN JAURES,Clichy,92110.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.901568, 2.304818",48.901568,2.304818
Ce,17515,Ce Ile-De-France,58,Clichy/00058,73 BOULEVARD JEAN JAURES,Clichy,92110.0,Sas,TLJ {07:00-22:00},Dvv,disponible,"48.901568, 2.304818",48.901568,2.304818
Ce,17515,Ce Ile-De-France,60,Courbevoie/00060,28 RUE DE BEZONS,Courbevoie,92400.0,Sas,TLJ {07:00-22:00},Gdv,disponible,"48.895857, 2.249321",48.895857,2.249321
Ce,17515,Ce Ile-De-France,60,Courbevoie/00060,28 RUE DE BEZONS,Courbevoie,92400.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.895857, 2.249321",48.895857,2.249321
Ce,17515,Ce Ile-De-France,64,Les Lilas/00064,135 RUE DE PARIS,Les Lilas,93260.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.87995, 2.416511",48.87995,2.416511
Ce,17515,Ce Ile-De-France,66,Montreuil/00066,56 BOULEVARD ROUGET DE L ISLE,Montreuil,93100.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.85914, 2.437787",48.85914,2.437787
Ce,17515,Ce Ile-De-France,66,Montreuil/00066,56 BOULEVARD ROUGET DE L ISLE,Montreuil,93100.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.85914, 2.437787",48.85914,2.437787
Ce,17515,Ce Ile-De-France,67,Montrouge/00067,63 AVENUE DE LA REPUBLIQUE,Montrouge,92120.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.816712, 2.318596",48.816712,2.318596
Ce,17515,Ce Ile-De-France,67,Montrouge/00067,63 AVENUE DE LA REPUBLIQUE,Montrouge,92120.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.816712, 2.318596",48.816712,2.318596
Ce,17515,Ce Ile-De-France,68,Nanterre/00068,64 RUE MAURICE THOREZ,Nanterre,92000.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.894002, 2.195935",48.894002,2.195935
Ce,17515,Ce Ile-De-France,70,Nogent Sur Marne/00070,141 GRANDE RUE CHARLES DE GAULLE,Nogent-Sur-Marne,94130.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.837473, 2.487165",48.837473,2.487165
Ce,17515,Ce Ile-De-France,71,Noisy Le Sec/00071,4 RUE JEAN JAURES,Noisy-Le-Sec,93130.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.890726, 2.453877",48.890726,2.453877
Ce,17515,Ce Ile-De-France,71,Noisy Le Sec/00071,4 RUE JEAN JAURES,Noisy-Le-Sec,93130.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.890726, 2.453877",48.890726,2.453877
Ce,14505,Ce Loire-Centre,21606,La Ferte Saint Aubin/21606,77 RUE DU MARECHAL LECLERC,La Ferte-Saint-Aubin,45240.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.720797, 1.941558",47.720797,1.941558
Ce,17515,Ce Ile-De-France,72,Pantin Eglise/00072,16 PLACE DE L EGLISE,Pantin,93500.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.892384, 2.41293",48.892384,2.41293
Ce,17515,Ce Ile-De-France,74,Saint Denis/00074,19 PLACE JEAN JAURES,Saint-Denis,93200.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Car,disponible,"48.936776, 2.358036",48.936776,2.358036
Ce,17515,Ce Ile-De-France,75,Saint Maur Hotel De Ville/00075,18 AVENUE EMILE ZOLA,Saint-Maur-Des-Fosses,94100.0,Sas,TLJ {07:00-22:00},Dvv,disponible,"48.803095, 2.484578",48.803095,2.484578
Ce,17515,Ce Ile-De-France,79,Vitry Sur Seine/00079,1 AVENUE DU GENERAL LECLERC,Vitry-Sur-Seine,94400.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.790575, 2.391569",48.790575,2.391569
Ce,17515,Ce Ile-De-France,79,Vitry Sur Seine/00079,1 AVENUE DU GENERAL LECLERC,Vitry-Sur-Seine,94400.0,Sas,TLJ {07:00-22:00},Gvv,disponible,"48.790575, 2.391569",48.790575,2.391569
Ce,17515,Ce Ile-De-France,79,Vitry Sur Seine/00079,1 AVENUE DU GENERAL LECLERC,Vitry-Sur-Seine,94400.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.790575, 2.391569",48.790575,2.391569
Ce,14505,Ce Loire-Centre,16605,Clery St Andre/16605,85 RUE DU MARECHAL FOCH,Clery-Saint-Andre,45370.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"47.819942, 1.754481",47.819942,1.754481
Ce,17515,Ce Ile-De-France,80,Malakoff/00080,48 AVENUE PIERRE LAROUSSE,Malakoff,92240.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.821966, 2.303794",48.821966,2.303794
Ce,17515,Ce Ile-De-France,80,Malakoff/00080,48 AVENUE PIERRE LAROUSSE,Malakoff,92240.0,Sas,TLJ {07:00-22:00},Gdv,disponible,"48.821966, 2.303794",48.821966,2.303794
Ce,17515,Ce Ile-De-France,80,Malakoff/00080,48 AVENUE PIERRE LAROUSSE,Malakoff,92240.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.821966, 2.303794",48.821966,2.303794
Ce,17515,Ce Ile-De-France,81,Villejuif/00081,79 AVENUE JEAN JAURES,Villejuif,94800.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.792656, 2.366623",48.792656,2.366623
Ce,17515,Ce Ile-De-France,81,Villejuif/00081,79 AVENUE JEAN JAURES,Villejuif,94800.0,Sas,TLJ {07:00-22:00},Dvv,disponible,"48.792656, 2.366623",48.792656,2.366623
Ce,14505,Ce Loire-Centre,17602,Orleans St Marceau/17602,43 RUE DE LA MOUILLERE,Orleans,45100.0,Interne,Mar et Mer et Ven {09:00-12:30 14:00-18:00} Jeu {09:00-12:30 15:00-18:00} Sam {08:45-13:00},Gdv,disponible,"47.886029, 1.907591",47.886029,1.907591
Ce,14505,Ce Loire-Centre,12512,Chartres Tassigny/12512,3 RUE DU MARECHAL DE LATTRE DE TASSIGNY,Chartres,28000.0,Interne,Mar et Mer et Ven {09:00-12:30 14:00-18:00} Jeu {09:00-12:30 15:00-18:00} Sam {08:45-13:00},Gdv,disponible,"48.444651, 1.487678",48.444651,1.487678
Ce,17515,Ce Ile-De-France,82,Bobigny/00082,9 RUE CARNOT,Bobigny,93000.0,Sas,TLJ {07:00-22:00},Gvv,disponible,"48.90664, 2.451623",48.90664,2.451623
Ce,17515,Ce Ile-De-France,84,Suresnes/00084,6 ESPLANADE DES COURTIEUX,Suresnes,92150.0,Dans La Rue,TLJ {00:00-23:59},Gab,suspendu,"48.869021, 2.226182",48.869021,2.226182
Ce,14505,Ce Loire-Centre,12520,Chartres Les Petits Clos/12520,23 AVENUE DE BEAULIEUCENTRE COMMERCIAL DE BEAULIEU,Chartres,28000.0,Dans La Rue,TLJ {00:00-23:59},Gab,service dégradé,"48.437757, 1.505583",48.437757,1.505583
Ce,17515,Ce Ile-De-France,85,Creteil Village/00085,53 RUE DU GENERAL LECLERC,Creteil,94000.0,Dans La Rue,TLJ {00:00-23:59},Gab,disponible,"48.791644, 2.464148",48.791644,2.464148
Ce,17515,Ce Ile-De-France,85,Creteil Village/00085,53 RUE DU GENERAL LECLERC,Creteil,94000.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.791644, 2.464148",48.791644,2.464148
Ce,17515,Ce Ile-De-France,89,Bagnolet/00089,30 RUE MALMAISON,Bagnolet,93170.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.867784, 2.419356",48.867784,2.419356
Ce,17515,Ce Ile-De-France,89,Bagnolet/00089,30 RUE MALMAISON,Bagnolet,93170.0,Sas,TLJ {06:00-22:00},Gdv,disponible,"48.867784, 2.419356",48.867784,2.419356
Ce,17515,Ce Ile-De-France,90,Chatillon/00090,12 RUE GABRIEL PERI,Chatillon,92320.0,Interne,Mar et Mer et Ven {09:15-12:45 13:45-17:30} Jeu {09:15-12:45 13:45-17:30} Sam {09:00-13:00},Udv,disponible,"48.80309, 2.288187",48.80309,2.288187
